cardiac cycle [%],t abs [s],t [s],LVP [mmHg],ECG [mV],LAD Flow [ml/s],AoP [mmHg],rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml],Unnamed: 13
0.5467294211670151,0.29005800000000004,0.550366,24.947,0.696,8.375,60.297,0.146390977078737,-0.135745292694343,-0.107324890980432,1.017062,1.087941,0.877401,3.2167535744870994
0.5514020805491836,0.29253700000000005,0.552845,23.454,0.681,7.389,61.571,0.147800981058069,-0.136217994469493,-0.108502200282845,1.016595,1.087976,0.878457,3.155041056038873
0.5560747399313521,0.29501600000000006,0.555324,22.175,0.696,6.897,61.146,0.149286102387729,-0.137057296329629,-0.109583121756628,1.015597,1.088238,0.879003,3.0989655281956434
0.5607473993135207,0.29749500000000006,0.557803,20.682,0.706,6.897,60.721,0.151280441170089,-0.137927133608353,-0.110524735842521,1.015398,1.088495,0.879374,3.0292637567627834
0.5654200586956889,0.29997399999999996,0.560282,20.043,0.721,7.389,61.358,0.153195698712116,-0.138518403233631,-0.111166180837813,1.013604,1.089236,0.88021,2.99787996561145
0.5700927180778574,0.30245299999999997,0.562761,17.271,0.717,8.375,60.297,0.15474145866094,-0.138507122088277,-0.112037950221965,1.013985,1.090096,0.881102,2.8490287943617822
0.5747672623569128,0.304933,0.565241,15.991,0.699,9.853,59.66,0.155439538448204,-0.137802445940925,-0.113309367651816,1.014116,1.088929,0.879909,2.772026063977305
0.5794399217390812,0.307412,0.56772,12.58,0.692,11.33,58.386,0.155485123044703,-0.136502198285134,-0.113533161512224,1.014659,1.089572,0.879867,2.5321082512722946
0.5841125811212498,0.309891,0.570199,12.367,0.685,12.808,58.386,0.155587823078796,-0.134968031661517,-0.113366532444449,1.0148,1.08884,0.879437,2.51503163475992
0.5887852405034183,0.31237000000000004,0.572678,11.514,0.699,14.779,58.386,0.155244734457839,-0.133623970939946,-0.113055697027924,1.013622,1.088611,0.880769,2.4435636862536176
0.5934578998855868,0.31484900000000005,0.575157,10.661,0.706,16.749,58.598,0.154378023950815,-0.131937861685156,-0.113523290120044,1.014953,1.087314,0.881808,2.366592222968338
0.5981305592677553,0.31732800000000005,0.577636,9.382,0.717,18.72,58.386,0.153664977334695,-0.130601712619093,-0.113783943027408,1.015841,1.08748,0.882415,2.238792959906266
0.6028032186499238,0.31980700000000006,0.580115,7.889,0.703,20.197,58.174,0.154346078269666,-0.129238489245057,-0.113912625170734,1.016143,1.086838,0.883502,2.0654693841129528
0.6074758780320921,0.32228599999999996,0.582594,7.249,0.692,22.168,57.961,0.15539628451778,-0.128179684696661,-0.113958214865721,1.016858,1.087033,0.884024,1.9808635283187406
